Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick                  Q_brick                  V_out                    P_out                    E_out                    
 2.70863E-07   4.24424E+03   3.60272E-01   3.39466E+01   1.03315E-01   9.47772E+01   1.44007E-03   1.41342E+04   7.83087E-03   3.53355E+04   4.99440E+08   6.52790E+02
 2.70939E-07   4.21740E+03   3.55729E-01   3.39487E+01   1.03296E-01   9.47790E+01   1.44020E-03   1.41193E+04   7.83194E-03   3.52982E+04   4.98385E+08   6.52828E+02
 2.71015E-07   4.19059E+03   3.51220E-01   3.39507E+01   1.03278E-01   9.47807E+01   1.44033E-03   1.41043E+04   7.83300E-03   3.52608E+04   4.97331E+08   6.52865E+02
 2.71091E-07   4.16381E+03   3.46746E-01   3.39527E+01   1.03259E-01   9.47825E+01   1.44046E-03   1.40894E+04   7.83406E-03   3.52235E+04   4.96278E+08   6.52902E+02
 2.71167E-07   4.13705E+03   3.42304E-01   3.39547E+01   1.03241E-01   9.47842E+01   1.44059E-03   1.40745E+04   7.83512E-03   3.51862E+04   4.95226E+08   6.52939E+02
 2.71243E-07   4.11033E+03   3.37896E-01   3.39568E+01   1.03222E-01   9.47859E+01   1.44072E-03   1.40596E+04   7.83618E-03   3.51489E+04   4.94178E+08   6.52976E+02
 2.71319E-07   4.08363E+03   3.33520E-01   3.39588E+01   1.03204E-01   9.47877E+01   1.44084E-03   1.40446E+04   7.83725E-03   3.51116E+04   4.93130E+08   6.53013E+02
 2.71395E-07   4.05695E+03   3.29176E-01   3.39608E+01   1.03185E-01   9.47894E+01   1.44097E-03   1.40297E+04   7.83831E-03   3.50743E+04   4.92083E+08   6.53050E+02
 2.71471E-07   4.03031E+03   3.24868E-01   3.39629E+01   1.03167E-01   9.47912E+01   1.44110E-03   1.40148E+04   7.83937E-03   3.50371E+04   4.91038E+08   6.53087E+02
 2.71547E-07   4.00369E+03   3.20590E-01   3.39649E+01   1.03148E-01   9.47929E+01   1.44123E-03   1.39999E+04   7.84043E-03   3.49998E+04   4.89995E+08   6.53124E+02
 2.71623E-07   3.97711E+03   3.16349E-01   3.39669E+01   1.03130E-01   9.47946E+01   1.44136E-03   1.39850E+04   7.84149E-03   3.49626E+04   4.88953E+08   6.53161E+02
 2.71699E-07   3.95055E+03   3.12136E-01   3.39689E+01   1.03111E-01   9.47964E+01   1.44149E-03   1.39702E+04   7.84255E-03   3.49254E+04   4.87913E+08   6.53199E+02
 2.71775E-07   3.92402E+03   3.07959E-01   3.39710E+01   1.03093E-01   9.47981E+01   1.44162E-03   1.39553E+04   7.84362E-03   3.48882E+04   4.86876E+08   6.53236E+02
 2.71851E-07   3.89751E+03   3.03812E-01   3.39730E+01   1.03075E-01   9.47999E+01   1.44175E-03   1.39404E+04   7.84468E-03   3.48511E+04   4.85840E+08   6.53273E+02
 2.71927E-07   3.87105E+03   2.99700E-01   3.39750E+01   1.03056E-01   9.48016E+01   1.44188E-03   1.39256E+04   7.84574E-03   3.48140E+04   4.84805E+08   6.53310E+02
 2.72003E-07   3.84460E+03   2.95619E-01   3.39771E+01   1.03038E-01   9.48033E+01   1.44200E-03   1.39107E+04   7.84680E-03   3.47769E+04   4.83772E+08   6.53347E+02
 2.72079E-07   3.81818E+03   2.91570E-01   3.39791E+01   1.03019E-01   9.48051E+01   1.44213E-03   1.38959E+04   7.84786E-03   3.47397E+04   4.82740E+08   6.53384E+02
 2.72155E-07   3.79180E+03   2.87554E-01   3.39811E+01   1.03001E-01   9.48068E+01   1.44226E-03   1.38811E+04   7.84892E-03   3.47026E+04   4.81710E+08   6.53421E+02
 2.72231E-07   3.76543E+03   2.83570E-01   3.39832E+01   1.02983E-01   9.48086E+01   1.44239E-03   1.38662E+04   7.84999E-03   3.46656E+04   4.80681E+08   6.53458E+02
 2.72307E-07   3.73910E+03   2.79618E-01   3.39852E+01   1.02964E-01   9.48103E+01   1.44252E-03   1.38514E+04   7.85105E-03   3.46285E+04   4.79653E+08   6.53495E+02
 2.72383E-07   3.71280E+03   2.75697E-01   3.39872E+01   1.02946E-01   9.48120E+01   1.44265E-03   1.38366E+04   7.85211E-03   3.45914E+04   4.78627E+08   6.53533E+02
 2.72459E-07   3.68653E+03   2.71810E-01   3.39892E+01   1.02927E-01   9.48138E+01   1.44278E-03   1.38217E+04   7.85317E-03   3.45544E+04   4.77602E+08   6.53570E+02
 2.72535E-07   3.66027E+03   2.67952E-01   3.39912E+01   1.02909E-01   9.48155E+01   1.44291E-03   1.38069E+04   7.85423E-03   3.45173E+04   4.76578E+08   6.53607E+02
 2.72611E-07   3.63406E+03   2.64128E-01   3.39929E+01   1.02891E-01   9.48173E+01   1.44304E-03   1.37921E+04   7.85529E-03   3.44803E+04   4.75556E+08   6.53644E+02
 2.72687E-07   3.60786E+03   2.60333E-01   3.39947E+01   1.02872E-01   9.48190E+01   1.44316E-03   1.37773E+04   7.85636E-03   3.44433E+04   4.74536E+08   6.53681E+02
 2.72763E-07   3.58171E+03   2.56573E-01   3.39964E+01   1.02854E-01   9.48207E+01   1.44329E-03   1.37625E+04   7.85742E-03   3.44063E+04   4.73518E+08   6.53718E+02
 2.72839E-07   3.55557E+03   2.52841E-01   3.39982E+01   1.02836E-01   9.48225E+01   1.44342E-03   1.37477E+04   7.85848E-03   3.43693E+04   4.72501E+08   6.53755E+02
 2.72915E-07   3.52946E+03   2.49142E-01   3.39999E+01   1.02817E-01   9.48242E+01   1.44355E-03   1.37330E+04   7.85954E-03   3.43324E+04   4.71486E+08   6.53792E+02
 2.72991E-07   3.50338E+03   2.45473E-01   3.40016E+01   1.02799E-01   9.48260E+01   1.44368E-03   1.37182E+04   7.86060E-03   3.42955E+04   4.70472E+08   6.53829E+02
 2.73067E-07   3.47734E+03   2.41837E-01   3.40034E+01   1.02781E-01   9.48277E+01   1.44381E-03   1.37034E+04   7.86166E-03   3.42586E+04   4.69459E+08   6.53867E+02
 2.73143E-07   3.45131E+03   2.38231E-01   3.40051E+01   1.02762E-01   9.48294E+01   1.44394E-03   1.36887E+04   7.86273E-03   3.42217E+04   4.68449E+08   6.53904E+02
 2.73219E-07   3.42532E+03   2.34656E-01   3.40069E+01   1.02745E-01   9.48312E+01   1.44406E-03   1.36739E+04   7.86379E-03   3.41848E+04   4.67439E+08   6.53941E+02
 2.73295E-07   3.39935E+03   2.31112E-01   3.40086E+01   1.02727E-01   9.48329E+01   1.44418E-03   1.36592E+04   7.86485E-03   3.41479E+04   4.66431E+08   6.53978E+02
 2.73371E-07   3.37341E+03   2.27598E-01   3.40103E+01   1.02710E-01   9.48346E+01   1.44430E-03   1.36444E+04   7.86591E-03   3.41110E+04   4.65425E+08   6.54015E+02
 2.73447E-07   3.34751E+03   2.24116E-01   3.40121E+01   1.02693E-01   9.48364E+01   1.44443E-03   1.36297E+04   7.86697E-03   3.40742E+04   4.64419E+08   6.54052E+02
 2.73523E-07   3.32163E+03   2.20664E-01   3.40138E+01   1.02675E-01   9.48376E+01   1.44455E-03   1.36149E+04   7.86803E-03   3.40373E+04   4.63416E+08   6.54089E+02
 2.73599E-07   3.29577E+03   2.17242E-01   3.40155E+01   1.02658E-01   9.48387E+01   1.44467E-03   1.36002E+04   7.86910E-03   3.40005E+04   4.62415E+08   6.54126E+02
 2.73675E-07   3.26995E+03   2.13851E-01   3.40173E+01   1.02640E-01   9.48399E+01   1.44479E-03   1.35855E+04   7.87016E-03   3.39638E+04   4.61414E+08   6.54163E+02
 2.73751E-07   3.24415E+03   2.10490E-01   3.40190E+01   1.02623E-01   9.48411E+01   1.44492E-03   1.35708E+04   7.87122E-03   3.39270E+04   4.60416E+08   6.54201E+02
 2.73827E-07   3.21837E+03   2.07159E-01   3.40208E+01   1.02606E-01   9.48422E+01   1.44504E-03   1.35561E+04   7.87228E-03   3.38902E+04   4.59419E+08   6.54238E+02
 2.73903E-07   3.19263E+03   2.03858E-01   3.40225E+01   1.02588E-01   9.48434E+01   1.44516E-03   1.35414E+04   7.87334E-03   3.38535E+04   4.58424E+08   6.54275E+02
 2.73979E-07   3.16692E+03   2.00587E-01   3.40242E+01   1.02571E-01   9.48445E+01   1.44528E-03   1.35267E+04   7.87441E-03   3.38168E+04   4.57430E+08   6.54310E+02
 2.74055E-07   3.14123E+03   1.97346E-01   3.40260E+01   1.02554E-01   9.48457E+01   1.44540E-03   1.35120E+04   7.87547E-03   3.37801E+04   4.56437E+08   6.54343E+02
 2.74131E-07   3.11557E+03   1.94136E-01   3.40277E+01   1.02536E-01   9.48469E+01   1.44553E-03   1.34974E+04   7.87649E-03   3.37434E+04   4.55446E+08   6.54375E+02
 2.74207E-07   3.08994E+03   1.90955E-01   3.40295E+01   1.02519E-01   9.48480E+01   1.44565E-03   1.34827E+04   7.87749E-03   3.37067E+04   4.54457E+08   6.54408E+02
 2.74283E-07   3.06434E+03   1.87803E-01   3.40312E+01   1.02502E-01   9.48492E+01   1.44577E-03   1.34680E+04   7.87848E-03   3.36701E+04   4.53469E+08   6.54440E+02
 2.74359E-07   3.03876E+03   1.84682E-01   3.40329E+01   1.02484E-01   9.48503E+01   1.44589E-03   1.34534E+04   7.87947E-03   3.36334E+04   4.52483E+08   6.54473E+02
 2.74435E-07   3.01322E+03   1.81589E-01   3.40347E+01   1.02467E-01   9.48515E+01   1.44601E-03   1.34387E+04   7.88046E-03   3.35968E+04   4.51498E+08   6.54505E+02
 2.74511E-07   2.98770E+03   1.78527E-01   3.40364E+01   1.02450E-01   9.48527E+01   1.44614E-03   1.34241E+04   7.88145E-03   3.35602E+04   4.50515E+08   6.54538E+02
 2.74587E-07   2.96221E+03   1.75493E-01   3.40382E+01   1.02433E-01   9.48538E+01   1.44626E-03   1.34095E+04   7.88244E-03   3.35236E+04   4.49534E+08   6.54570E+02
 2.74663E-07   2.93674E+03   1.72489E-01   3.40399E+01   1.02415E-01   9.48550E+01   1.44638E-03   1.33948E+04   7.88343E-03   3.34871E+04   4.48553E+08   6.54603E+02
 2.74739E-07   2.91130E+03   1.69514E-01   3.40416E+01   1.02398E-01   9.48561E+01   1.44650E-03   1.33802E+04   7.88442E-03   3.34505E+04   4.47574E+08   6.54635E+02
 2.74815E-07   2.88590E+03   1.66568E-01   3.40434E+01   1.02381E-01   9.48573E+01   1.44662E-03   1.33656E+04   7.88541E-03   3.34139E+04   4.46597E+08   6.54667E+02
 2.74891E-07   2.86051E+03   1.63651E-01   3.40451E+01   1.02363E-01   9.48585E+01   1.44675E-03   1.33510E+04   7.88640E-03   3.33774E+04   4.45620E+08   6.54700E+02
 2.74967E-07   2.83516E+03   1.60763E-01   3.40469E+01   1.02346E-01   9.48596E+01   1.44687E-03   1.33363E+04   7.88740E-03   3.33409E+04   4.44645E+08   6.54732E+02
 2.75043E-07   2.80984E+03   1.57904E-01   3.40486E+01   1.02329E-01   9.48608E+01   1.44699E-03   1.33217E+04   7.88839E-03   3.33043E+04   4.43671E+08   6.54765E+02
 2.75119E-07   2.78454E+03   1.55073E-01   3.40503E+01   1.02312E-01   9.48619E+01   1.44711E-03   1.33071E+04   7.88938E-03   3.32678E+04   4.42699E+08   6.54797E+02
 2.75195E-07   2.75927E+03   1.52271E-01   3.40521E+01   1.02294E-01   9.48631E+01   1.44723E-03   1.32925E+04   7.89037E-03   3.32313E+04   4.41728E+08   6.54830E+02
 2.75271E-07   2.73403E+03   1.49498E-01   3.40538E+01   1.02277E-01   9.48643E+01   1.44736E-03   1.32779E+04   7.89136E-03   3.31949E+04   4.40760E+08   6.54862E+02
 2.75347E-07   2.70881E+03   1.46754E-01   3.40556E+01   1.02260E-01   9.48654E+01   1.44748E-03   1.32634E+04   7.89235E-03   3.31584E+04   4.39793E+08   6.54895E+02
 2.75423E-07   2.68363E+03   1.44037E-01   3.40573E+01   1.02243E-01   9.48666E+01   1.44760E-03   1.32488E+04   7.89334E-03   3.31221E+04   4.38828E+08   6.54927E+02
 2.75499E-07   2.65847E+03   1.41349E-01   3.40590E+01   1.02226E-01   9.48677E+01   1.44772E-03   1.32343E+04   7.89433E-03   3.30857E+04   4.37865E+08   6.54960E+02
 2.75575E-07   2.63334E+03   1.38689E-01   3.40608E+01   1.02208E-01   9.48689E+01   1.44784E-03   1.32197E+04   7.89532E-03   3.30493E+04   4.36902E+08   6.54992E+02
 2.75651E-07   2.60823E+03   1.36057E-01   3.40625E+01   1.02191E-01   9.48701E+01   1.44797E-03   1.32052E+04   7.89631E-03   3.30129E+04   4.35941E+08   6.55025E+02
 2.75728E-07   2.58316E+03   1.33454E-01   3.40643E+01   1.02174E-01   9.48712E+01   1.44809E-03   1.31906E+04   7.89730E-03   3.29766E+04   4.34982E+08   6.55057E+02
 2.75804E-07   2.55811E+03   1.30878E-01   3.40660E+01   1.02157E-01   9.48724E+01   1.44821E-03   1.31761E+04   7.89830E-03   3.29402E+04   4.34023E+08   6.55090E+02
 2.75880E-07   2.53309E+03   1.28331E-01   3.40677E+01   1.02140E-01   9.48735E+01   1.44833E-03   1.31615E+04   7.89929E-03   3.29038E+04   4.33065E+08   6.55122E+02
 2.75956E-07   2.50810E+03   1.25811E-01   3.40695E+01   1.02122E-01   9.48747E+01   1.44845E-03   1.31470E+04   7.90028E-03   3.28675E+04   4.32109E+08   6.55155E+02
 2.76031E-07   2.48313E+03   1.23319E-01   3.40712E+01   1.02105E-01   9.48759E+01   1.44857E-03   1.31325E+04   7.90127E-03   3.28312E+04   4.31154E+08   6.55187E+02
 2.76107E-07   2.45819E+03   1.20854E-01   3.40730E+01   1.02088E-01   9.48770E+01   1.44870E-03   1.31179E+04   7.90226E-03   3.27949E+04   4.30201E+08   6.55219E+02
 2.76183E-07   2.43328E+03   1.18417E-01   3.40747E+01   1.02071E-01   9.48782E+01   1.44882E-03   1.31035E+04   7.90325E-03   3.27586E+04   4.29251E+08   6.55252E+02
 2.76259E-07   2.40840E+03   1.16008E-01   3.40764E+01   1.02054E-01   9.48793E+01   1.44894E-03   1.30890E+04   7.90424E-03   3.27224E+04   4.28302E+08   6.55284E+02
 2.76335E-07   2.38354E+03   1.13626E-01   3.40782E+01   1.02037E-01   9.48805E+01   1.44906E-03   1.30745E+04   7.90523E-03   3.26861E+04   4.27354E+08   6.55317E+02
 2.76411E-07   2.35872E+03   1.11271E-01   3.40799E+01   1.02019E-01   9.48817E+01   1.44918E-03   1.30600E+04   7.90622E-03   3.26499E+04   4.26407E+08   6.55349E+02
 2.76487E-07   2.33392E+03   1.08943E-01   3.40816E+01   1.02002E-01   9.48828E+01   1.44931E-03   1.30455E+04   7.90721E-03   3.26137E+04   4.25462E+08   6.55382E+02
 2.76563E-07   2.30914E+03   1.06643E-01   3.40834E+01   1.01985E-01   9.48840E+01   1.44943E-03   1.30310E+04   7.90820E-03   3.25775E+04   4.24518E+08   6.55414E+02
 2.76639E-07   2.28440E+03   1.04369E-01   3.40851E+01   1.01968E-01   9.48851E+01   1.44955E-03   1.30165E+04   7.90920E-03   3.25413E+04   4.23576E+08   6.55447E+02
 2.76715E-07   2.25968E+03   1.02123E-01   3.40869E+01   1.01951E-01   9.48863E+01   1.44967E-03   1.30021E+04   7.91019E-03   3.25052E+04   4.22634E+08   6.55479E+02
 2.76791E-07   2.23499E+03   9.99035E-02   3.40886E+01   1.01934E-01   9.48875E+01   1.44979E-03   1.29876E+04   7.91118E-03   3.24690E+04   4.21695E+08   6.55512E+02
 2.76867E-07   2.21033E+03   9.77109E-02   3.40903E+01   1.01917E-01   9.48886E+01   1.44991E-03   1.29732E+04   7.91217E-03   3.24329E+04   4.20757E+08   6.55544E+02
 2.76943E-07   2.18569E+03   9.55449E-02   3.40921E+01   1.01900E-01   9.48898E+01   1.45004E-03   1.29587E+04   7.91316E-03   3.23968E+04   4.19820E+08   6.55577E+02
 2.77019E-07   2.16108E+03   9.34056E-02   3.40938E+01   1.01882E-01   9.48909E+01   1.45016E-03   1.29443E+04   7.91415E-03   3.23607E+04   4.18885E+08   6.55609E+02
 2.77095E-07   2.13650E+03   9.12928E-02   3.40956E+01   1.01865E-01   9.48921E+01   1.45028E-03   1.29298E+04   7.91514E-03   3.23246E+04   4.17952E+08   6.55642E+02
 2.77171E-07   2.11195E+03   8.92068E-02   3.40973E+01   1.01848E-01   9.48932E+01   1.45040E-03   1.29154E+04   7.91613E-03   3.22886E+04   4.17020E+08   6.55674E+02
 2.77247E-07   2.08742E+03   8.71466E-02   3.40990E+01   1.01831E-01   9.48944E+01   1.45052E-03   1.29010E+04   7.91712E-03   3.22525E+04   4.16090E+08   6.55707E+02
 2.77323E-07   2.06292E+03   8.51132E-02   3.41008E+01   1.01814E-01   9.48956E+01   1.45064E-03   1.28866E+04   7.91811E-03   3.22165E+04   4.15162E+08   6.55739E+02
 2.77399E-07   2.03845E+03   8.31059E-02   3.41025E+01   1.01797E-01   9.48967E+01   1.45077E-03   1.28722E+04   7.91910E-03   3.21805E+04   4.14234E+08   6.55771E+02
 2.77475E-07   2.01401E+03   8.11248E-02   3.41043E+01   1.01780E-01   9.48979E+01   1.45089E-03   1.28578E+04   7.92010E-03   3.21445E+04   4.13308E+08   6.55804E+02
 2.77551E-07   1.98959E+03   7.91697E-02   3.41060E+01   1.01763E-01   9.48990E+01   1.45101E-03   1.28434E+04   7.92109E-03   3.21085E+04   4.12383E+08   6.55836E+02
 2.77627E-07   1.96521E+03   7.72408E-02   3.41077E+01   1.01746E-01   9.49002E+01   1.45113E-03   1.28290E+04   7.92208E-03   3.20726E+04   4.11460E+08   6.55869E+02
 2.77703E-07   1.94084E+03   7.53376E-02   3.41095E+01   1.01729E-01   9.49014E+01   1.45125E-03   1.28146E+04   7.92307E-03   3.20366E+04   4.10538E+08   6.55901E+02
 2.77779E-07   1.91651E+03   7.34603E-02   3.41112E+01   1.01712E-01   9.49025E+01   1.45137E-03   1.28003E+04   7.92406E-03   3.20007E+04   4.09618E+08   6.55934E+02
 2.77855E-07   1.89220E+03   7.16087E-02   3.41130E+01   1.01695E-01   9.49037E+01   1.45150E-03   1.27859E+04   7.92505E-03   3.19648E+04   4.08699E+08   6.55966E+02
 2.77931E-07   1.86792E+03   6.97828E-02   3.41147E+01   1.01678E-01   9.49048E+01   1.45162E-03   1.27716E+04   7.92604E-03   3.19289E+04   4.07782E+08   6.55999E+02
 2.78007E-07   1.84367E+03   6.79825E-02   3.41164E+01   1.01661E-01   9.49060E+01   1.45174E-03   1.27572E+04   7.92703E-03   3.18930E+04   4.06866E+08   6.56031E+02
 2.78083E-07   1.81945E+03   6.62077E-02   3.41182E+01   1.01644E-01   9.49072E+01   1.45186E-03   1.27429E+04   7.92802E-03   3.18572E+04   4.05952E+08   6.56064E+02
 2.78159E-07   1.79525E+03   6.44583E-02   3.41199E+01   1.01627E-01   9.49083E+01   1.45198E-03   1.27285E+04   7.92901E-03   3.18213E+04   4.05038E+08   6.56096E+02
 2.78235E-07   1.77108E+03   6.27344E-02   3.41217E+01   1.01610E-01   9.49095E+01   1.45210E-03   1.27142E+04   7.93000E-03   3.17855E+04   4.04126E+08   6.56129E+02
 2.78311E-07   1.74693E+03   6.10356E-02   3.41233E+01   1.01593E-01   9.49106E+01   1.45223E-03   1.26999E+04   7.93100E-03   3.17497E+04   4.03216E+08   6.56161E+02
 2.78387E-07   1.72282E+03   5.93623E-02   3.41248E+01   1.01576E-01   9.49118E+01   1.45235E-03   1.26855E+04   7.93199E-03   3.17139E+04   4.02307E+08   6.56194E+02
 2.78463E-07   1.69873E+03   5.77138E-02   3.41262E+01   1.01559E-01   9.49130E+01   1.45247E-03   1.26712E+04   7.93298E-03   3.16781E+04   4.01400E+08   6.56226E+02
 2.78539E-07   1.67467E+03   5.60904E-02   3.41277E+01   1.01542E-01   9.49141E+01   1.45259E-03   1.26569E+04   7.93397E-03   3.16423E+04   4.00494E+08   6.56259E+02
 2.78615E-07   1.65064E+03   5.44919E-02   3.41291E+01   1.01525E-01   9.49153E+01   1.45271E-03   1.26426E+04   7.93496E-03   3.16065E+04   3.99589E+08   6.56291E+02
 2.78691E-07   1.62663E+03   5.29184E-02   3.41306E+01   1.01509E-01   9.49164E+01   1.45282E-03   1.26283E+04   7.93595E-03   3.15708E+04   3.98686E+08   6.56323E+02
 2.78767E-07   1.60265E+03   5.13696E-02   3.41320E+01   1.01493E-01   9.49176E+01   1.45294E-03   1.26140E+04   7.93694E-03   3.15351E+04   3.97785E+08   6.56356E+02
 2.78843E-07   1.57870E+03   4.98456E-02   3.41335E+01   1.01477E-01   9.49188E+01   1.45305E-03   1.25998E+04   7.93793E-03   3.14994E+04   3.96885E+08   6.56388E+02
 2.78919E-07   1.55477E+03   4.83461E-02   3.41349E+01   1.01460E-01   9.49199E+01   1.45317E-03   1.25855E+04   7.93892E-03   3.14637E+04   3.95987E+08   6.56417E+02
 2.78995E-07   1.53087E+03   4.68713E-02   3.41364E+01   1.01444E-01   9.49211E+01   1.45329E-03   1.25712E+04   7.93991E-03   3.14281E+04   3.95089E+08   6.56445E+02
 2.79071E-07   1.50700E+03   4.54209E-02   3.41378E+01   1.01428E-01   9.49222E+01   1.45340E-03   1.25570E+04   7.94083E-03   3.13924E+04   3.94194E+08   6.56473E+02
 2.79147E-07   1.48315E+03   4.39949E-02   3.41393E+01   1.01412E-01   9.49234E+01   1.45352E-03   1.25427E+04   7.94175E-03   3.13568E+04   3.93299E+08   6.56501E+02
 2.79223E-07   1.45934E+03   4.25932E-02   3.41407E+01   1.01396E-01   9.49246E+01   1.45363E-03   1.25285E+04   7.94267E-03   3.13211E+04   3.92406E+08   6.56528E+02
 2.79299E-07   1.43555E+03   4.12158E-02   3.41422E+01   1.01380E-01   9.49257E+01   1.45375E-03   1.25142E+04   7.94359E-03   3.12855E+04   3.91514E+08   6.56556E+02
 2.79375E-07   1.41178E+03   3.98626E-02   3.41436E+01   1.01364E-01   9.49269E+01   1.45386E-03   1.25000E+04   7.94451E-03   3.12499E+04   3.90623E+08   6.56584E+02
 2.79451E-07   1.38805E+03   3.85334E-02   3.41451E+01   1.01348E-01   9.49280E+01   1.45398E-03   1.24857E+04   7.94543E-03   3.12143E+04   3.89734E+08   6.56612E+02
 2.79527E-07   1.36434E+03   3.72283E-02   3.41465E+01   1.01332E-01   9.49292E+01   1.45409E-03   1.24715E+04   7.94635E-03   3.11788E+04   3.88847E+08   6.56640E+02
 2.79603E-07   1.34066E+03   3.59471E-02   3.41480E+01   1.01316E-01   9.49304E+01   1.45421E-03   1.24573E+04   7.94727E-03   3.11433E+04   3.87961E+08   6.56668E+02
 2.79679E-07   1.31700E+03   3.46897E-02   3.41494E+01   1.01300E-01   9.49315E+01   1.45432E-03   1.24431E+04   7.94819E-03   3.11078E+04   3.87078E+08   6.56695E+02
 2.79755E-07   1.29337E+03   3.34562E-02   3.41509E+01   1.01284E-01   9.49327E+01   1.45443E-03   1.24289E+04   7.94911E-03   3.10723E+04   3.86195E+08   6.56723E+02
 2.79831E-07   1.26977E+03   3.22463E-02   3.41523E+01   1.01268E-01   9.49338E+01   1.45455E-03   1.24147E+04   7.95003E-03   3.10368E+04   3.85314E+08   6.56751E+02
 2.79907E-07   1.24620E+03   3.10601E-02   3.41538E+01   1.01252E-01   9.49350E+01   1.45466E-03   1.24005E+04   7.95095E-03   3.10014E+04   3.84434E+08   6.56779E+02
 2.79983E-07   1.22265E+03   2.98974E-02   3.41552E+01   1.01236E-01   9.49362E+01   1.45478E-03   1.23864E+04   7.95187E-03   3.09659E+04   3.83555E+08   6.56807E+02
 2.80059E-07   1.19913E+03   2.87581E-02   3.41567E+01   1.01220E-01   9.49373E+01   1.45489E-03   1.23722E+04   7.95279E-03   3.09305E+04   3.82678E+08   6.56835E+02
 2.80135E-07   1.17563E+03   2.76423E-02   3.41581E+01   1.01204E-01   9.49385E+01   1.45501E-03   1.23580E+04   7.95371E-03   3.08950E+04   3.81802E+08   6.56862E+02
 2.80211E-07   1.15217E+03   2.65498E-02   3.41596E+01   1.01188E-01   9.49396E+01   1.45512E-03   1.23439E+04   7.95463E-03   3.08596E+04   3.80927E+08   6.56890E+02
 2.80287E-07   1.12873E+03   2.54805E-02   3.41610E+01   1.01172E-01   9.49408E+01   1.45524E-03   1.23297E+04   7.95555E-03   3.08242E+04   3.80053E+08   6.56918E+02
 2.80363E-07   1.10531E+03   2.44343E-02   3.41625E+01   1.01156E-01   9.49420E+01   1.45535E-03   1.23155E+04   7.95647E-03   3.07888E+04   3.79181E+08   6.56946E+02
 2.80439E-07   1.08193E+03   2.34113E-02   3.41639E+01   1.01140E-01   9.49431E+01   1.45547E-03   1.23014E+04   7.95739E-03   3.07535E+04   3.78311E+08   6.56974E+02
 2.80515E-07   1.05857E+03   2.24113E-02   3.41654E+01   1.01124E-01   9.49443E+01   1.45558E-03   1.22873E+04   7.95831E-03   3.07182E+04   3.77442E+08   6.57002E+02
 2.80591E-07   1.03523E+03   2.14342E-02   3.41668E+01   1.01108E-01   9.49454E+01   1.45570E-03   1.22731E+04   7.95923E-03   3.06829E+04   3.76575E+08   6.57029E+02
 2.80667E-07   1.01193E+03   2.04800E-02   3.41683E+01   1.01092E-01   9.49466E+01   1.45581E-03   1.22590E+04   7.96015E-03   3.06476E+04   3.75710E+08   6.57057E+02
 2.80743E-07   9.88650E+02   1.95486E-02   3.41697E+01   1.01076E-01   9.49478E+01   1.45593E-03   1.22449E+04   7.96107E-03   3.06123E+04   3.74846E+08   6.57085E+02
 2.80819E-07   9.65399E+02   1.86399E-02   3.41712E+01   1.01060E-01   9.49489E+01   1.45604E-03   1.22308E+04   7.96199E-03   3.05771E+04   3.73983E+08   6.57113E+02
 2.80895E-07   9.42174E+02   1.77538E-02   3.41726E+01   1.01044E-01   9.49501E+01   1.45616E-03   1.22167E+04   7.96291E-03   3.05418E+04   3.73121E+08   6.57141E+02
 2.80971E-07   9.18975E+02   1.68903E-02   3.41740E+01   1.01029E-01   9.49512E+01   1.45627E-03   1.22026E+04   7.96383E-03   3.05066E+04   3.72261E+08   6.57169E+02
 2.81047E-07   8.95803E+02   1.60493E-02   3.41755E+01   1.01013E-01   9.49524E+01   1.45639E-03   1.21885E+04   7.96475E-03   3.04713E+04   3.71401E+08   6.57196E+02
 2.81123E-07   8.72658E+02   1.52306E-02   3.41769E+01   1.00997E-01   9.49536E+01   1.45650E-03   1.21745E+04   7.96567E-03   3.04361E+04   3.70544E+08   6.57224E+02
 2.81199E-07   8.49540E+02   1.44344E-02   3.41784E+01   1.00981E-01   9.49547E+01   1.45662E-03   1.21604E+04   7.96659E-03   3.04010E+04   3.69687E+08   6.57252E+02
 2.81275E-07   8.26449E+02   1.36604E-02   3.41798E+01   1.00965E-01   9.49559E+01   1.45673E-03   1.21463E+04   7.96751E-03   3.03658E+04   3.68833E+08   6.57280E+02
 2.81351E-07   8.03385E+02   1.29085E-02   3.41813E+01   1.00949E-01   9.49570E+01   1.45685E-03   1.21323E+04   7.96843E-03   3.03307E+04   3.67980E+08   6.57308E+02
 2.81427E-07   7.80347E+02   1.21788E-02   3.41827E+01   1.00933E-01   9.49582E+01   1.45696E-03   1.21182E+04   7.96935E-03   3.02955E+04   3.67127E+08   6.57336E+02
 2.81503E-07   7.57336E+02   1.14711E-02   3.41842E+01   1.00917E-01   9.49594E+01   1.45708E-03   1.21042E+04   7.97027E-03   3.02604E+04   3.66276E+08   6.57363E+02
 2.81579E-07   7.34351E+02   1.07854E-02   3.41856E+01   1.00901E-01   9.49605E+01   1.45719E-03   1.20901E+04   7.97119E-03   3.02253E+04   3.65426E+08   6.57391E+02
 2.81655E-07   7.11393E+02   1.01216E-02   3.41871E+01   1.00885E-01   9.49617E+01   1.45731E-03   1.20761E+04   7.97211E-03   3.01902E+04   3.64579E+08   6.57419E+02
