Time (s)   V_cell (kV)              I_cell (kA)              
 4.64750E-09   0.00000E+00   0.00000E+00
 4.67250E-09   0.00000E+00   0.00000E+00
 4.69750E-09   0.00000E+00   0.00000E+00
 4.72250E-09   0.00000E+00   0.00000E+00
 4.74750E-09   0.00000E+00   0.00000E+00
 4.77250E-09   0.00000E+00   0.00000E+00
 4.79750E-09   0.00000E+00   0.00000E+00
 4.82250E-09   0.00000E+00   0.00000E+00
 4.84750E-09   0.00000E+00   0.00000E+00
 4.87250E-09   0.00000E+00   0.00000E+00
 4.89750E-09   0.00000E+00   0.00000E+00
 4.92250E-09   0.00000E+00   0.00000E+00
 4.94750E-09   0.00000E+00   0.00000E+00
 4.97250E-09   0.00000E+00   0.00000E+00
 4.99750E-09   0.00000E+00   0.00000E+00
 5.02250E-09   2.52196E-05   2.52196E-11
 5.04750E-09   2.20115E-04   2.20115E-10
 5.07250E-09   7.54031E-04   7.54031E-10
 5.09750E-09   1.77649E-03   1.77649E-09
 5.12250E-09   3.41927E-03   3.41927E-09
 5.14750E-09   5.79851E-03   5.79851E-09
 5.17250E-09   9.01642E-03   9.01642E-09
 5.19750E-09   1.31630E-02   1.31630E-08
 5.22250E-09   1.83172E-02   1.83172E-08
 5.24750E-09   2.45487E-02   2.45487E-08
 5.27250E-09   3.19184E-02   3.19184E-08
 5.29750E-09   4.04797E-02   4.04797E-08
 5.32250E-09   5.02794E-02   5.02794E-08
 5.34750E-09   6.13585E-02   6.13585E-08
 5.37250E-09   7.37526E-02   7.37526E-08
 5.39750E-09   8.74928E-02   8.74928E-08
 5.42250E-09   1.02606E-01   1.02606E-07
 5.44750E-09   1.19116E-01   1.19116E-07
 5.47250E-09   1.37042E-01   1.37042E-07
 5.49750E-09   1.56403E-01   1.56403E-07
 5.52250E-09   1.77187E-01   1.77187E-07
 5.54750E-09   1.99264E-01   1.99264E-07
 5.57250E-09   2.22474E-01   2.22474E-07
 5.59750E-09   2.46676E-01   2.46676E-07
 5.62250E-09   2.71748E-01   2.71748E-07
 5.64750E-09   2.97577E-01   2.97577E-07
 5.67250E-09   3.24068E-01   3.24068E-07
 5.69750E-09   3.51135E-01   3.51135E-07
 5.72250E-09   3.78700E-01   3.78700E-07
 5.74750E-09   4.06697E-01   4.06697E-07
 5.77250E-09   4.35066E-01   4.35066E-07
 5.79750E-09   4.63755E-01   4.63755E-07
 5.82250E-09   4.92717E-01   4.92717E-07
 5.84750E-09   5.21910E-01   5.21910E-07
 5.87250E-09   5.51298E-01   5.51298E-07
 5.89750E-09   5.80849E-01   5.80849E-07
 5.92250E-09   6.10535E-01   6.10535E-07
 5.94750E-09   6.40330E-01   6.40330E-07
 5.97250E-09   6.70212E-01   6.70212E-07
 5.99750E-09   7.00162E-01   7.00162E-07
 6.02250E-09   7.30162E-01   7.30162E-07
 6.04750E-09   7.60196E-01   7.60196E-07
 6.07250E-09   7.90251E-01   7.90251E-07
 6.09750E-09   8.20316E-01   8.20316E-07
 6.12250E-09   8.50379E-01   8.50379E-07
 6.14750E-09   8.80431E-01   8.80431E-07
 6.17250E-09   9.10464E-01   9.10464E-07
 6.19750E-09   9.40471E-01   9.40471E-07
 6.22250E-09   9.70445E-01   9.70445E-07
 6.24750E-09   1.00038E+00   1.00038E-06
 6.27250E-09   1.03027E+00   1.03027E-06
 6.29750E-09   1.06012E+00   1.06012E-06
 6.32250E-09   1.08991E+00   1.08991E-06
 6.34750E-09   1.11965E+00   1.11965E-06
 6.37250E-09   1.14933E+00   1.14933E-06
 6.39750E-09   1.17895E+00   1.17895E-06
 6.42250E-09   1.20851E+00   1.20851E-06
 6.44750E-09   1.23801E+00   1.23801E-06
 6.47250E-09   1.26743E+00   1.26743E-06
 6.49750E-09   1.29679E+00   1.29679E-06
 6.52250E-09   1.32608E+00   1.32608E-06
 6.54750E-09   1.35530E+00   1.35530E-06
 6.57250E-09   1.38445E+00   1.38445E-06
 6.59750E-09   1.41353E+00   1.41353E-06
 6.62250E-09   1.44253E+00   1.44253E-06
 6.64750E-09   1.47146E+00   1.47146E-06
 6.67250E-09   1.50032E+00   1.50032E-06
 6.69750E-09   1.52910E+00   1.52910E-06
 6.72250E-09   1.55781E+00   1.55781E-06
 6.74750E-09   1.58644E+00   1.58644E-06
 6.77250E-09   1.61500E+00   1.61500E-06
 6.79750E-09   1.64348E+00   1.64348E-06
 6.82250E-09   1.67189E+00   1.67189E-06
 6.84750E-09   1.70022E+00   1.70022E-06
 6.87250E-09   1.72848E+00   1.72848E-06
 6.89750E-09   1.75666E+00   1.75666E-06
 6.92250E-09   1.78476E+00   1.78476E-06
 6.94750E-09   1.81279E+00   1.81279E-06
 6.97250E-09   1.84074E+00   1.84074E-06
 6.99750E-09   1.86862E+00   1.86862E-06
 7.02250E-09   1.89642E+00   1.89642E-06
 7.04750E-09   1.92415E+00   1.92415E-06
 7.07250E-09   1.95180E+00   1.95180E-06
 7.09750E-09   1.97937E+00   1.97937E-06
 7.12250E-09   2.00687E+00   2.00687E-06
 7.14750E-09   2.03430E+00   2.03430E-06
 7.17250E-09   2.06165E+00   2.06165E-06
 7.19750E-09   2.08892E+00   2.08892E-06
 7.22250E-09   2.11613E+00   2.11613E-06
 7.24750E-09   2.14325E+00   2.14325E-06
 7.27250E-09   2.17031E+00   2.17031E-06
 7.29750E-09   2.19728E+00   2.19728E-06
 7.32250E-09   2.22419E+00   2.22419E-06
 7.34750E-09   2.25102E+00   2.25102E-06
 7.37250E-09   2.27778E+00   2.27778E-06
